Question,Noon_English_Responses,Generated Questions,Relevance Score
"Which organization declared the First Year of Studies program at Notre Dame ""outstanding?""",US News and World Report,Which publication is notable for its rankings of American colleges and universities?,71.07543541
The granting of Doctorate degrees first occurred in what year at Notre Dame?,1924,In what year were the first Winter Olympics held?,59.25976497
What type of degree is an M.Div.?,Master of Divinity,What degree is typically pursued by individuals planning to become ordained ministers or priests?,77.32140367
Which program at Notre Dame offers a Master of Education degree?,Alliance for Catholic Education,What is the program carried out by the University of Notre Dame that supports Catholic schools especially in under-resourced communities?,79.38712065
In what year was a Master of Arts course first offered at Notre Dame?,It was first offered in the 1854-1855 school year.,When was the first time this course or program was offered?,75.53996439
Which department at Notre Dame is the only one to not offer a PhD program?,The department of pre-professional studies,"What department is responsible for preparing students for professional programs in fields such as medicine, law, and engineering?",70.28215952
What institute at Notre Dame studies  the reasons for violent conflict?,"Yes, it does.",Does the coffee maker have a timer feature?,47.99623791
What is the title of Notre Dame's Theodore Hesburgh?,President Emeritus,What is the title given to a retired university president?,74.48662399
In what year was the Joan B. Kroc Institute for International Peace Studies founded?,1986,What year was the Chernobyl nuclear disaster?,58.30009671
To whom was John B. Kroc married?,Ray Kroc,Who is the businessman credited with the global expansion of McDonald's fast food chain?,70.6573492
What company did Ray Kroc own?,McDonald's,What is the name of the world's largest chain of hamburger fast food restaurants?,73.86324283
How many stories tall is the main library at Notre Dame?,It is 14 stories tall.,How many stories tall is the building?,81.39583232
What is the name of the main library at Notre Dame?,It is called the Theodore Hesburgh Library.,What is the official name of the main library located on the campus of the University of Notre Dame?,95.39751783
In what year was the Theodore M. Hesburgh Library at Notre Dame finished?,1963,What year was President John F. Kennedy assassinated in the United States?,59.20578232
Which artist created the mural on the Theodore M. Hesburgh Library?,Millard Sheets,Who is known for his contributions to the American scene painting movement and murals in buildings across the United States?,74.98223783
What is a common name to reference the mural created by Millard Sheets at Notre Dame?,Touchdown Jesus,"What is the nickname of the mural ""The Word of Life"" located at the University of Notre Dame?",85.45167549
How many incoming students did Notre Dame admit in fall 2015?,"3,577","What is the sum of 2,000 and 1,577?",60.63706803
What percentage of students were admitted to Notre Dame in fall 2015?,19.7,What is the square root of approximately 388.09?,57.42869658
Where does Notre Dame rank in terms of academic profile among research universities in the US?,Between the top 10 and 15,Where would you rank a movie if it's not exactly in your top 10 favorites but also not below the 15th spot?,63.44825119
What percentage of students at Notre Dame participated in the Early Action program?,39.1,What is the result if you add 20 to 19.1?,54.74222838
How many miles does the average student at Notre Dame travel to study there?,More than 750,How many species of birds are there in Australia?,54.58826419
Where did U.S. News & World Report rank Notre Dame in its 2015-2016 university rankings?,Ranked 18th overall,What is the global ranking of the Australian economy?,66.69214593
Forbes.com placed Notre Dame at what position compared to other US research universities?,8th,What place did you finish in the race?,58.2536127
The undergrad school at the Mendoza College of Business was ranked where according to BusinessWeek?,1st overall,What was the draft position of the top player selected in the NBA 2020 draft?,59.39749261
In 2014 what entity named Notre Dame 10th best of all American universities?,USA Today,What is the name of a popular daily newspaper published in the United States?,66.09833101
What percentage of Notre Dame students decide to study abroad?,57.6%,What is the percentage equivalent of 0.576?,64.68222047
What person was the Director of the Science Museum at Notre Dame in the late 19th century?,Father Joseph Carrier,Who was the French Catholic priest known as a scientist and an early innovator in the field of photomicrography?,76.32115501
What was the lifespan of John Augustine Zahm?,He was born in 1851 and died in 1921.,When was the person who was born in 1851 and died in 1921 born and died?,64.79487859
What program did John Augustine Zahm come to co-direct at Nore Dame?,Science Department,Which department would you go to if you wanted to study physics or biology?,58.13709589
What book did John Zahm write in 1896?,Evolution and Dogma,What are the two major themes in the works of renowned philosopher and theologian John Zahm?,78.21112222
What professorship did Father Josh Carrier hold at Notre Dame?,He was a professor of chemistry and physics.,What was his profession if he taught both chemistry and physics in a university?,67.04001911
In what year did Albert Zahm begin comparing aeronatical models at Notre Dame?,Answer not in context,What is the color of happiness?,51.63044843
Which professor sent the first wireless message in the USA?,Jerome Green,Who is the full name of the person known as Jerry Green in the field of music?,58.59125032
In what year did Jerome Green send his first wireless message?,About 1899,"When was the novel ""Heart of Darkness"" by Joseph Conrad first published?",62.12143412
Which individual worked on projects at Notre Dame that eventually created neoprene?,Father Julius Niewland,Who is considered the founder of the University of Notre Dame's science department and chemistry program?,77.9367794
What did the brother of John Zahm construct at Notre Dame?,An early wind tunnel,What kind of device did early aerodynamicists use to test the effects of airflow on objects?,58.04417922
Work on a germ-free-life ended up in the creation of which Notre Dame institute?,The Lobund Institute,What is the name of the research institute associated with the University of Notre Dame that focuses on germ-free life and gnotobiotics?,87.7942261
Around what time did Lobund of Notre Dame become independent?,In the 1940s,When was the golden age of Hollywood?,56.42306329
In what year did Lobund at Notre Dame become an Institute?,1950,What year did the Korean War start?,56.70212806
The Lobund Institute was merged into the Department of Biology at Notre Dame in what year?,1958,"What year was NASA, the National Aeronautics and Space Administration, established?",61.34719763
When did study of a germ-free-life begin at Notre Dame?,1928,In what year was Mickey Mouse first introduced by Walt Disney?,58.08297073
Gurian created what in 1939 at Notre Dame?,The Review of Politics,What is the name of the academic journal that publishes scholarly work on political science?,54.80678403
What was the Review of Politics inspired by?,German Catholic journals,What type of periodicals were influential in promoting Catholic thought in Germany?,66.72537761
Over how many years did Gurian edit the Review of Politics at Notre Dame?,44,What is the sum of 24 and 20?,53.44284519
Thomas Stritch was an editor of which publican from Notre Dame?,The Review of Politics,"What is the academic journal published by Cambridge University Press focusing on political science, philosophy, and history?",61.8434192
Who was the president of Notre Dame in 2012?,John Jenkins,"Who is the author of the book ""Navigating the Complexity of Life""?",58.84456611
The Kellogg Institute for International Studies is part of which university?,Notre Dame,"What is the name of the famous cathedral located in Paris, France?",54.21320407
What does the Kroc Institute at Notre Dame focus on?,International Peace studies,"What field of study focuses on global understanding, conflict resolution, and preventing war, often referred to as International Peace studies?",60.71244835
In what year did Notre Dame begin to host the Global Adaptation Index?,2012,What year was the London Olympics held?,60.48729144
What threat does the Global Adaptation Index study?,Climate change vulnerability and readiness to adapt,What factors determine a country's ability to deal with global warming issues?,72.13883623
How many undergrads were attending Notre Dame in 2014?,"Eight thousand, four hundred and forty-eight.",What is 2112 multiplied by 4?,60.84489943
What percentage of students at Notre Dame are the children of former Notre Dame students?,About 21–24 percent.,What is the estimated percentage of oxygen in Earth's atmosphere?,63.93196381
How many teams participate in the Notre Dame Bookstore Basketball tournament?,700,What is the sum of 400 and 300?,56.617212
For what cause is money raised at the Bengal Bouts tournament at Notre Dame?,money is raised for the holy cross missions in bangladesh,Where is the money raised for the Holy Cross Missions used?,72.10345082
How many students in total were at Notre Dame in 2014?,"12,179","What is 9,000 plus 3,179?",64.09816704
What percentage of undergrads live on the Notre Dame campus?,About 80%,What percentage of our body is composed of water?,66.09601003
How many student housing areas are reserved for Notre Dame's graduate students?,Four,How many legs does a chair typically have?,56.38840238
How many dorms for males are on the Notre Dame campus?,There are 15 dormitories for males.,How many dormitories are there specifically for males?,88.38860982
What amount of the graduate student body at Notre Dame live on the campus?,About 80%,What is the approximate percentage of water content in a human body?,59.6376404
There are how many dorms for females at Notre Dame?,14,How many days are in two weeks?,59.35160892
What is Congregation of Holy Cross in Latin?,"It is Congregatio Sanctae Cruce. In English, it is the Congregational Society of Holy Cross.","What is the Latin name for the Congregational Society of Holy Cross, and what is its translation in English?",90.94449601
What percentage of Notre Dame students feel they are Christian?,93%,What percentage of the total does this quantity represent if the entire total is considered as 100%?,66.76044085
How often is Catholic mass held at Notre Dame in a week?,Over 100 times,How many times can a honey bee flap its wings in a second?,58.52151498
How many chapels are on the Notre Dame campus?,Fifty-seven,What is the sum of thirty and twenty-seven?,59.14980291
What amount of the student body of Notre Dame identifies as Catholic?,Over 80%,What percentage of our planet's surface is covered by water?,63.61037289
What was the music hall at Notre Dame called?,Washington Hall,What is the name of the oldest building on the University of Notre Dame's campus?,77.40195883
In what year was the Main Building at Notre Dame razed in a fire?,1879,What year was Albert Einstein born?,57.37983673
Who was the president of Notre Dame in 1879?,William Corby,Who was the Catholic priest known for bestowing absolution to Union Soldiers during the Battle of Gettysburg?,67.29742239
On what date was the rebuilding of The Main Building begun at Notre Dame after the fire that claimed the previous?,May 17,What is the date of Norway's National Day?,55.38251627
What did the Science Hall at Notre Dame come to be known as?,"Washington Hall is now known as LaFayette Student Center, and Washington Hall was once known as the Science Hall.","What is the current name of Washington Hall, and what was it previously known as?",75.17385136
What type of education was pushed at Notre Dame before its embracing of national standards?,classical and scholastic,What are two significant periods or styles in philosophy and education during the Middle Ages?,67.68915796
Which college did Notre Dame add in 1921?,The College of Commerce,What is the name of the division at a university where business-related subjects are studied?,59.7892403
"In 1919 a new president of Notre Dame was named, who was it?",Father James Burns,Who is the priest presiding over St. Paul's Catholic Church?,66.05766153
Over how many years did the change to national standards undertaken at Notre Dame in the early 20th century take place?,It was completed in three years after the arrival of Father James Burns.,When was the project completed after the arrival of Father James Burns?,66.25438126
Those who attended a Jesuit college may have been forbidden from joining which Law School due to the curricula at the Jesuit institution?,Harvard Law School,What institution is considered one of the top legal education establishments in the United States?,74.90922519
"The Notre Dame football team got a new head coach in 1918, who was it?",Knute Rockne,Who was the legendary coach of Notre Dame's football team in the 1920s?,87.36137999
What was the amount of wins Knute Rockne attained at Notre Dame while head coach?,105,What is the sum of 50 and 55?,56.26188544
In what year did the team lead by Knute Rockne win the Rose Bowl?,1925,What year did The Great Gatsby novel by F. Scott Fitzgerald get published?,66.59763852
How many years was Knute Rockne head coach at Notre Dame?,Rockne was head coach for 13 years.,For how many years was Rockne the head coach?,89.99837949
How many national titles were won when Knute Rockne coached at Notre Dame?,Three,How many sides does a triangle have?,58.83667509
"Catholic people identified with Notre Dame, what religious group did people feel Yale represented?",Protestants,"What religious group originated in the 16th-century Reformation, splitting from the Catholic Church?",65.17250787
Notre Dame students had a showdown in 1924 with which anti-catholic group?,The Ku Klux Klansmen,Who were the members of the secret society that promoted white supremacy and terrorized African Americans after the Civil War in the United States?,65.04573178
Which college president of Notre Dame is credited with preventing more confrontations between students and the KKK?,Fr. Matthew Walsh,Who is the founder of University of Notre Dame's Law School?,76.38777102
What type of event did the Klan intend to have at Notre Dame in March of 1924?,weeklong Klavern,What is the term for a week-long event or meeting organized by the Ku Klux Klan?,77.22347091
Where did Notre Dame students and the KKK have their encounter?,"South Bend, Indiana",What city is home to the University of Notre Dame?,75.16343536
Which person became vice-president of Notre Dame in 1933?,John Francis O'Hara,Who was the Archbishop of Philadelphia from 1951 to 1960?,69.97108076
Who was the president of Notre Dame in 1934?,Father John F. O'Hara,Who served as the president of the University of Notre Dame from 1934 to 1939?,95.06235373
Irvin Abell was given what award by Notre Dame?,Laetare Medal,Who is the recipient of the highest award given by the University of Notre Dame and the oldest and most prestigious award given to American Catholics?,82.49837518
Which year was the Laetare Medal first given out at Notre Dame?,It was given out in 1883.,When was this item distributed or given out?,69.91443486
For whos glory did Father O'Hara believed that the Notre Dame football team played?,God's and Mary's,Who are the key figures in the Annunciation according to Christian belief?,57.77487097
Around the time that Rev. Cavanaugh became president of Notre Dame by how much did the undergrad student body of Notre Dame increase?,Quadrupled,What is the term used to describe a quantity that has been multiplied by four?,58.18700189
Which institute involving animal life did Cavanaugh create at Notre Dame?,The Lobund Institute,What is the name of the research institute affiliated with the University of Notre Dame that is dedicated to the study of germ-free life?,78.75823777
What is O'Shaughnessy Hall of Notre Dame formerly known as?,Hall of Liberal Arts,"What is the name of the building used primarily for social sciences, humanities, and arts studies at many universities?",72.41259878
Which president did Notre Dame have in 1947?,It did not have a president in 1947.,Which country did not have a president in 1947?,72.63405592
"Outside of an institute studying animals, what other institute did Cavanugh create at Notre Dame?",The Medieval Institute,What is the most prominent research center dedicated to the study and understanding of the Middle Ages?,64.4471515
What was the lifespan of Theodore Hesburgh?,1917-2015,"What are the years of birth and death of Alexander Prokhorov, the Nobel Prize-winning Soviet physicist?",62.91322911
In the time that Hesburgh was president of Notre Dame by what factor did the operating budget increase?,By a factor of 8.,By how much has the size of the object increased?,66.4611491
What was the size of the Notre Dame endowment when Theodore Hesburgh became president?,$9 million,What was the cost of the most expensive painting sold at the auction?,62.65032253
During what years was Theodor Hesburgh president of Notre Dame?,1952 to 1987,What were the years of Eisenhower's inauguration as president of the United States to Reagan's conclusion from the same role?,69.270216
How many faculty members were at Notre Dame when Hesburgh left the role of president?,950,What is the sum of 500 and 450?,55.40371722
What type of educational institute is Hesburgh given credit for creating at Notre Dame?,coeducational,What is the term for an educational institution where males and females are taught together?,65.41539236
Which role did Charles Sheedy have at Notre Dame?,He was the Dean of Arts & Letters.,Who held the position of Dean of Arts & Letters?,66.55395763
What title did Thomas Blantz have at Notre Dame?,He was vice president of student affairs.,What position did he hold in the student affairs department at the university?,71.80753475
In what year did Notre Dame have its earliest undergraduate that was female?,1971,In what year was the United Arab Emirates founded?,58.67522336
With what institute did Notre Dame agree to an exchange program in the 1960s?,Saint Mary's College,"What is the name of the private, Catholic, women's liberal arts college located in Notre Dame, Indiana?",76.83497737
