Responses,contexts,faithfulness Score
???????,"???? ???????? ???? 1969[61] ?????? ?? ??? ?????? ?????? ???? ???? ???? ?? ?????? ??? ????. ??? ?? ????? ??? ??????? ???? ?? ??????? ??? ??? ????? ?? ????? ????? 300 ??? ????.[59] ????? ???? ????? ???????? ???? ??? ????? ??? ??????? ???????? ??? 2000 ?????? ????????? ???? (???? ???? ????? ??? ???????? ?? ??????).[61]
 ????? ?? ?? ???? ????????? ???? ???? ????? ??????? ???????? ???????? ??? ??????.[5] ?????? ????????? ?? ????? ???? ???? ???? ???? ??????? ???? ?????? ??? ????? ????? ??? ?????? ??? ???? ????????? ???? ?????? ????? ???? ???? ?????? ???????. ??? ??? ??????? ?????? ?? ????? ????? ???????? ??????? ?????????? ??????? ???????? ?????? ????? ????? ?????. ???? ??? ????? ?????? ???????? ?? ??????? ???????? ????? ?????? ???????? ???? ????? ????? ??????? ????????? ???? ?? ??? ?????.[62]
 ?????? ??? ??????? ???? ????? ????? ?????? ??????? ??????? ??? ?? ????? ??? ??? ?? ???? ?? ?????? ??? ??????? ??????? ??? ??? ????? ?? ???? ?? ??????? ????? ??????? ??????? ???? ?? ???? ????? ???????. ??? ?? ??????? ??????? ?? ???? ???? ??? ????? ????? ??????? ??? ?????? ???? ??????? ??? ?? ????? ?????? 80% ?? ????? ???? ????? ?? ?????? ??????? ?????? ??????. ????? ????? ?? ???? ??????? ?????? ??????? ??????? ????? ???? ???????? ??? ????? ??????? ?????? ?????????? ?? ?????? ?????? ?? ????? ????? ????? ????? ??? ?????. ?????? ??????? ?? ????? ????? ?????? ???????? ??? ???? ?? ??? 15 ?36 ????? ??? ?? ??????? ???????? ?? ???.[62]
 ??? ?????? ??????? ????? ????? ??? ?????? ?? ???? ?????? ?? 5 ??",0
???? ?????? ????? ??????? ???????? ??????? ?????? ?????????? ??????????? ????? ??????? ?????? ????? ??????? ?????? ????? ??????? ????? ????? ????? ????? ??????? ?????? ????? ???? ??????? ??????? ?? ???? ????? ?????? ??? ??? 1990. ??????? ??? ??????? ?????? ????? ??????? ?? ???????? ???? ??????? ????? ?????? ?????? ?????? ???????? ?????? ??????? ??????? ?????? ?????? ?????? ?????? ?????? ?? ????? ????? ??????. ????? ??????? ????? ?????? ?????? ?????? ?? ???? ?? 160 ?????. ??? ?? ????? ??? ?????? ????????? ?? ??? ???????? ????? ??????? ???????,"? 10 ????? ???????? ??? ????? ??????? ???????? ?? ???? ??? ??????? ????????? ??????? ?? ???????? ?? ????? ???????? ?????? ??? ???????? ?????????? ??????? ???? ??????? ?? ?????? ???????? ????? ??? ??? ??? ?? ?????? ??????? ??????? ??? ???????? ???????. ????? ??????? ?????? ???????? ??????? ???????? ??? ??????? ?????? ?? ??????? ?? ????? ?????? ??? ?????? ??? ?? ??????? ?????????.[63]
 ?? ?????? ????? ???????? ???????? ?? ????? ?????? ??? (1990 - 2000?)? ??? ?????? ??? ??????? ???????? ??????? ????? 8.9 ?????? ?????[?????? 1] (21% ???? ?? ???????? ??????) ?? ?? ?????? ???? 2.2% ?????? ?? ????? ??????? ???? ???? ?????? ?????. ??? ??????? ?? ??? ??????? ???????? ???? ???? ????? ?? ???????? ?????? ????? ??60% ?? ??????? ???? ????? ??????? ??? ???? ??? ????????? ??????? ????????? ????????? ??????? ??????? ????????? ?? ???? ????? ???????. ?? ?????? ?????? ??????? ???? ????? ?????? - ??? ??????? ????? ??????? ???????? - ??? ???? 2000 ?2005 ??? 7.3 ????? (24% ???? ?? ???????? ??????)? ????? ????? ??????? ????? 1.8% ?? ???????? ????? ????? ??????.[64] ?????????? ???? ???? ????? ????? ?? ????? ??????? ???????? (2000-2010) - ????? ????? ??????? - ?????? ????? ????? 20% ?? ????????? ???????? ???? ???????? ?? ?????? ?????? ???????? ????? ??????? ??????? ?? ??????? ???????? ?? ????? ?? ?????? ??????[65] ??? ??? ?????? ????? ??????? ????????? ?????? - ??? ????? ??????? ???????? - 5.2 ????? ????? ???? ??? ??????? ???? ????? ??????? ??? ?????? ????? ?? ??????? ??????? ?????? ???????? ??? ???? ",100
???????? ????????? ???????? ????? ?????????? ???????? ?????? ?????????? ??????????? ?????????,"??????? ???? ???? ???????? ???? ??? ?????? ????? ?????????? ???? ?? ????? ?????? ????? ?? ???????? ??????????. ??? ??? ??? ???????? ???????? ??? ???? ??????? ??????? ???? ??????? ???????? ?? ?????? ??? 500 ????? ?? ?????? ???? ?? ???? ???? ????? ?? ??????????. ??? ??? ??? ??? ???????? ????? ?? ??????? ??????? ?? ??? ???????? ??????? ????? ??? ????? ?? ?????? ??? ?? ???? ???? ??????? ???????.[66]
 ????????? ??? ??? ???????? ????????? ?? ???? ?? ????? ???????? ??? ??? ??? ?????? ?? ??? 2010 ???? ?????? ??????? ??? ?????? ?????? ??????? ?????? ???????? ???? ?? ???? ??????? ??????? ?????? ??? ????? ???? ?????? ???? ?? ???????? ??? ??????? ?????? ??????? ??????? ?????. ?????? ????????? ??? ?? ?????? ???? ?? ???????? ??????? ????????? ???? ?? ????? ??????? ???????? ??? ??????? ?????? ??? ??????? ?????? ??? ??? ????? ??? ??????? ?? ??????? ???????? ???? ??? ??????? ???? ???? ????? ??? ?? ????? ???????? ??????? ????????? ????.[65][67] ??? ??? ?? ??????? ?????? ????? ??? ?? ???????? ???? ??????? ??????? ?????? ?????? (??????) ?? ???? ??????? ?? ???????? ???? ???? ??? ????? ??????? ???????? ??????? ??????????? ??????? ??????? ????. ???? ????????? ?????? ???????? ??? ???? 2000 ?2005 ????? 10 ??? ?? ?????? ?? ??? ???? ??????? ??????? ??????? ???? ???: ?????? (6.9%) ???????? (3.9%) ???????? (3.8%) ??????? (2.7%) ??????? (2.7%) ???? (2.6%) ?????? (2.2%) ????? (2.2%) ??????? (2.0%) ????? (1.9%).[64]
 ????? ?????? ???????? ???????
????? ?????
",9.090909091
??????? ???? ?? ???? ??? ????? ?????? ???? ?? ??? ??? ????? ?????? ???????? ????? ?? ???? ?????.,"????? - ????? ????? - ????? ???? ?????? ?????? ?????? ?? ???? ???? ??????? (????? ?? ??????) ????? ????? ????? ??? ????? ???????? ??? ???? ????? ????? ?????? ??????. ??? ??????? ?????? ???????? ??????? ???? ???? ???????? ??????? ????????? ???????? ?????????? ??????? ????????? ??????? ??????? ????? ??????? ???????. ???? ?????? ?????? ????? ??????? ??????: ???? ?????? ????? ???????? ??????? ?? ????????? ???????? ?????? ?? ???? ????? ??????? ?? ??? ?????? ?? ????? ??? ????? ???? ????? ???????? ????? ?? ????? ???????. ??? ????? ??? ???????? ?????? ????? ???? ??? ????????? ???????? ?? ?????? ????? ????? ?? ????? ??????? ??? ???? ??? ?? ???????? ??????? ???? ???? ?????? ?????? ?????[1] ??? ?? ????? ?? ??? ?? ????? ???????? ???? ??????.
 ??????? ???????? ??????? ??????? ???????? ??? ????? ??????? ????????? ??????? ???? ?????? ???? ?????? ???? ?? ??? ???? ??????? ???????? ??? ??? ????? ??????? ?? ??? ???????? ??????? ???????? ?????? ?????? ????? ??? ?????? ?????? ?????? ????? ???? ???? ??? ????? ???? ?????? ?????? ????? ????? ???? ???????? ?????? ?? ??? ???????? ?? ????? ?? ?????? ?????. ??? ?? ???? ??????? ??? ???????? ??????? ?? ????????? ??????? ??? 7.2% ??? 2004.[2]
 ???? ???? ???? ???????? ??????? ??? ????? ????? ????????? ????? ????? ????? ??????????? ???? ????? ???? ????? «??? ??????» (??????????: Aeolipile)[3][4] ????? ???? ?????? ??? ???????? ??? ?????? ??? ?????? ?? ???? ?????? ??????? ?????????? ????? ???? ???? ????? ???? ????? ????? ??? ??????. ????? ??????? ??? ??? ?? ??",100
????? ?????? ???,"???? ??? ???? ?? ??? ?????? ?????? ?????? ????? ???????? ??? ??? ??????? ????? ?? ?? ????? ????? ??? ???? ??????? ??? ??? ?? ???? ????? ?????? ?? ???.
 ??? ????? ??????? ????? ??????? ?? ???? ???????? ??? ??????? ?????? ?????? ???? ??? ???? ???????? ????? ??????? ??? ???? ?????? ???????? ???????? ?? ????? ????? ????? ??? ?? ????? ???????? ?????? ??? ??? ???? ???? ???? ?????? ??? ???? ????? ?? ???? ????.[4] ??? 1633? ???? ?????? ???????? ?????? ??? ???? ?? ????? ?????? ?????? ????? ???? ?????? ?????? ??? ????? ???????? ??? ?? ????? ??????? ????????? ??? ??? ??????? ?????? ??? ???? ????? ?? ???? ???? ?????? ????????.[5]
 ???? ???????? ???????? ????? ????? ???? ????? ????? ??????? ????????? ???????? ?? ??? ???????? ????????? ????????. ?????? ??? 1930 ??? ??????? ?? ??????? ?????? ?????? ?? ??????? ???????? (????? ?????? ?????? ??????? ?????? ?????? ?? ???????) ???? ???? ????? ?????? ??????? ????????? ?? ???????? ?? ??? ?????? ???? ?????? ?????? ???? ?????? ????? ???????? ???? ???? ??????? ?????.
 ??? ??? ???? ??? ????????? ???? ?? ???? ?????? ????? ?????? ??? ?????? ?????? ???? ?????? ?? ?????? ???? ???? ?????? ????? ????? ???? ????? ?????? ???????[6] ???? ??? ??????? ????? ????? ??? ??????? ?? ???? ?????. ??????? ???? ??? ?????? ????? ????? ?????? ????? ??????? ????? ?????? ?? ????? ??? ????? ???????.
 ??????? ???? ??? ????? ??? ????? ?????? ?????? ??????? ?? ????? ??? ???? ????? ????? ?? ????? ??????? ????? ???? ??? ?????? ????????? ?? ???? ????? ???? ???????? ?????? ?????? ??",100
1910," ???? ??????? ??????? ?????? ??? ???????? ?????? ??????? ?? ???? ??????? ??? ????? ??????? ???? ?????.
 ???? ?????? ???????? ??????? ?????? ???????? ?????? ??? ???? ????? ?????? ?????? ????? ???? ?????? ?? ????? ?? ?????? ???????? ?????? ????? ?????? ??????. ???? ??? ???????? ?????? ??? ?? ????? ??????? ????? ????? ????? ???????? ?????????[7] ?????? ????? ????? ??? ?????? ??????? ?? ???? ??????? ??? ????? ?????? ???? ?????? ????????. ??? ????? ??? ??????? ????? ???? ????? ?????? ????? ????? ??????? [8][9] 1910 ?? ??????? ??????? ?? ?? 2[10] ??? 1940 ??????? ???????? ""Tsu-11"" ???? ?????? ?? ?????? ?????????. ???? ????? ?? ??? ?????? ?? ?????? ???????? ???????? ????? ????? ??? ????? ????? ???????? ???????? ??? ??? ???????? ?? ???? ?????? ????? ????? ???? ???? ???????? ????? CC.2 ???????? ??? ???? ?????? ???? ??? ???? ???????? ????? ?????? ???? ??? ??? ???? ?? ??? ???????? ?????????.
 ????? ???????? ?????? ??????? ?????? ?????? ??????? ??? ?????? ???????? ?????? ?? ?????? ???? ?????? ??????. ????? ??? ????? ?????? ???????? ?????? ???? ????? ???????? ??? 1791.[11] ??? ??? ?????? ???? ???? ????? ?? ??? ?? ??? 1903 ??? ?? ??????? ????????? ???????? ?????? ??? ??? ????? ?????? ????? ?????? ???? ??? ????? ????? ??? 1917.[12] ????? ???????? ?????? ??????? ??? ??? ?????????? ?? ????? ???????? ??? ??? ???????? ??????? ???? ?????? ???????? ?? ??????? ???? ???? ?? ???? ??? ?????? ????? ?? ??? ???? ?? ???? ????? ???? ??? ???? ??? ?? ??????? ?????? ???? ????? ???????? ??? ??? ???????? ?????",0
????? ?????????,"?? ???? ?????? ???? ????? ??? ???????? ??? ?? ??????? ???????? ?????? ????? ?????.
 ?? ??? 1923 ??? ????? ??????? ?? ?????? ?????? ???????? ???????? ?????? ??? ??? ?? ?????? ?????? ????? ?? ????? ????????? ???????? ??? ??????? ??????????? ?? ??????? ???????? ???? ???: «?????? ?? ???? ????? ???? ???????? ??? ??????? ??????? ?? ????? ??????? ?? ???? ????? ?????? ??? ??????? ???????».[13]
 ??? 1929 ??? ??????? ??????? ????? ???? ?????? ?? ???????? ?????? ???? ???? ??? ??????? [14][15] ???? ??? ????? ???????? ??? ??? ???? ?? ??????? ??????? ??? 1932.[16][17] ???? ??? ???????? ?????? ???? ??? ????? ?? ??????? ???? ???? ????? ??????? ????? ?????? ???? ???? ??? ???? ???? ?????? ??????? ???. ??? ?? ????? ??? ???????? ?? ??? ??? ???? ???? ??? ?????? ?????? ?????? ??? ???? ???? ?? ??? 1937? ?????? ????? ??????? ??? ???? ???? ????? ????? ?????? ?????? ??? ????? ?? ??? ?????? ???? ????? ?? ?????? ????? ???? ?????? ???? ?? ????? ?? ????? ??? ????? ???? ?????? ??????? ???? ?? ????? ???? ?? ???? ??????? ????? ??????? ????? ????? ????? ?????? ?????? ?????? ?????.[18]
 ?? ??? 1935 ??? ???? ??? ????? ????? ??? ????? ????? ?????????[19] ??? ???? ??????? ???? ??????? ??? ?? ????. ??? ?????? ???????? ????? ?????? ???? ??????? ???? ??? ?????? ??????? ??? ??? ?? ????? ????? ??????? ??????? ??????. ???? ??? ???????? ???? ????? ????? ???? ??? ???? ????? ???????? ?? ??? ????? ???? ???? ????? ?????? ???????. ???? ????? ?? ????? ???? ???? ???? ???????? ???? ????? ????? ?????? ?????? ????????? ???? ??? ?",100
1939,"????? ???? ?????? ?????? ?????? ????? ??????? HeS 1 ?? ?????? ?? ??? 1937? ???????? ?????????? ????? ??? ??? ??? ?????. ??????? ???????? ??????? ?? ????? HeS 3  (????? 5 ?????????) ??????? ?????? ????? ???? ??? ????????? ????? ???? ??? He 178? ?????? ??? ??????? ???? ???? ??? ??? ?? ?????? ????? ?????? ?? ???? 27 ????? ??? 1939? ????? ??? ??? ????? ???? ???????? ???? ????.[20]
 ?????? ??? ?????? ???????? ??? ??????? ?????????? ?????? ??? ???? ????? ???? ????? ??????? ??????? ????? ??? ???? ????? ????? ????? ??????? ?????? ?????? ???????? (???????????: Power Jets Ltd)? ???? ??? ????? ?? ????? ?????? ???????? ?? ??????? ??? ????? ??????? ??????? 15 ???? ??? 1941 ???? ??? ????? ???? ??? ?????? E.28/39 ????? ?? ????? ???? ????? ???? ??? ???? ??? 4 ?????????? ??? ???? ??? ??? ?????? ????? ???? W.1. ???? ?? ?? ???? ???? ????? ????? ????? ?????? ?? ????? ????? ?????? ???????? ??? ????? ?? ???? ?????? ???? ?????? ???? ?? ?????? ??????? ??? ?????? ??????? ??????? ??? ????? ?????? ??? ???? ?????? ?????? ???? ???????? ?????? ?????? ??? ???. ???? ??????? ?? ???? ??? ??????? ??? ??? ???????? ??????? ?????? ??????? ???? ????? ?????? ????? ?? ??? ????? ???? ??????? ???? ???????? ??? ?????? ??????.
 ???? ????? ?? ??? ??????? ??? ?? ????? ???? ?????? ?????? ?????? ???? ??????? ??????? ????? ??? ??? ???? ??? ???? ?????? ????????? ???? ???? ?? ???????? ????? ????? ?????? ????? ????? ??? ???? ??? ???? ????? ??????? ???? ?????? ???? ???????? ?? ?????? ???? ?? ????? ????? ??????? ???? ???? ?? ??? ",0
????? ?????,"?????? ??? ????? ???? ?????? ???? ???? ???????? ???? ????? ?? ???????? ??? ?? ???? ?????? ????? ???? ???? ?????? ???? ?? ??? ?????? ????????? ?? ????? ??????? ??? ??? ??? ??????? ???? ????? ???? ???? ????? ?????? ????? ??????? ??? ???????? ?????? ??? ????? ????? ?????? ????????? ??????? ???????.
 ???? ??????? ???????? ?????? ????? ?? ???? ?????? ????????? ??? ?? ??? ???????? ????? ????? ???????? ????? ??? ?????? ??? ??????? ???? ??????? ?????? ??????? ??? ???? ?? ?????? ??? ????? ?????? ?? ???? ???? ??????? ?? ????? ???????? ??? ???? ?? ????? ???? ?????? ????? ????? ????? ????? ???????? ????? ?????? ?? ??? ???? ?? ??? ??????? ?? ???? ??? ????? ???? ?????? ???? ????? ???????? ???? ??? ??? ?? ??? ??????? ??????? ????????? ???????? ?? ???? ?????? ??? ????? ???????? ??? ??? ???????? ???????? ??? ??? ?????? ?????? ????? ??? ??? ???? ????????? ???? ???????? ????? ?????? ???? ???? 004? ???? ?? ?????? ?? ????????? ??????? ????? ??????? ??? ????? ?????? ?? ??? ???????? ??????? ?? ??? 1944? ????? ??? ?????? ??????? ?? 262? ??? ??? ????? ????? ???????[21] ?? ???? ??? ??? ????? ????? ?????. ??? ???? ??? ?? ??????? ???? ???? ????? ????? ??? ????????? ???? ??????? ????? ?? ??? ??? ????????? ??????? ????? ?? ?????? ????? ??? ???????? ?? ??????? ??? ?? ??????? ?? ?? ?????? ?????? ?? ????? ?? ????? ?????? ??? ??????? ???? ????? ???? ???? ?????? ????? ????? ???????? ???????? ???? ????? ????? ??? ??????? ????????? ??? ??????? ?????? ?????? ??? ??????? ???????? ?? ?????? ???????? ??????? ???????",100
??? ?????????,"? ???????? ???????. ?? ??????? ?? ??? ?????? ????? ??????? ?? ??????? ?? ???? ???????? ??????? ??? ???????? ????? ??????? ?? ??????? ?? ??? ??????? ????.
 ???? ?????? ??? ????? ??????? ?? ????? ????????? ??????? ???? ???? ??????? ??????? ???????? ????? ??? ???? ????? ???????. ????? ?????? ?????? ?? ?????? ??? ???????? ??? ??????? ?? ???????? ???????? ???? ???? ??? ????? ??? ?????? ???? ????? ?? ??????? ????????? ???? ???? ?????? ?????? ???? ??? ???? ?????? ???? ????? ???? ????? ??????? ???? ???? ??????? ??????? ???????.
 ??? ??????? ???????? ??????? ?? ???? ???? ???????? ?? ??? ?? ????? ???? ??? ?????? ????? ??? ????????? ?? ????? ???????? ??? ???? ??????? ??? ???????? ?? ???? ???????? ??????? ???? ??? ??? ????? ??? ?????????? ????? ????? ??? ??????? ?????? ??????? ?????????? ?????? ?????? ?????? ?? ?????? ?????? ?????? ?????? ???????? ??????? ??????? ??????? ??????.
 ?????? ????? ???????? ??????? ???? ??? ?? ??? ??????? ???? ????? ???????? ?????? ??? ????????? ??? ????????? ??? ?????? ?? ??????? ?? ???? ??????? ????? ????? ??? ?????? ?????? ?????? ???????? ?????? ??? ????? ???????? ??????? ???????? ?? ?????? ?????? ????????? ????????? ????????? ????? ?? ????? ????? ??????.[22][23]
 ???? ????? ????? ?? ???????? ???????? ???? ?????? ??? ????? ?? ?????? ??????? ?????? ??????. ?????? ?????? ????? ???? ????? ?? ??? ????????.
 ???? ?????? ?????? ????? ???? ?????? × ???? ????? ???? ????? ??????.
 I = m c
 ???:
 m = ???? ?????? ????????.
 c = ???? ??????.
 ??????? ???? ???? ??????? ",0
(c-v) <0),"???? ??? ?????? ???? ?????? ?????? ???????? ?? ?????? ?? ??? ?????? ???? ?????? ???????? ??????? ??? ?????. ??? ?? ??????? ???? ????? ????? (v)? ??????? ????? ???????? ????? ?????? ???? ????? ??? ??? ??????: m v.
 ???????? ??????? ???? ???? ???? ???? ????? ?? ??????? ?? ???? ?? ??????. ??? ???? ??????? ?????? ???? ?? ???? ????? ??? ????? ?????? ?????????? ??? ??????? ???????? ??? ??? ???????? ??? ????? ?????? ???. ????? ???????? ??? ??????? ?? ???? ???? ????? ??????. ??? ??? ????? ??? ?????? ???????? ????? ????? ?? ???????? ???????.
 ????? ???? ??? ?????? ?????? ??? ?? ???? ???? ????? ?????? ?? ?????? (c)? ??? ???? ???? ????? ?? ??????? (v). ???? ??? ?????? ????? ?? ????? ??? ???? ????? ??????? ?? ?????? (c) - (v)? ???? ??? ????? ?????? ?? ???? ?????: (S = m(c - v
 ????? ?????? ????????? ????? ????? ????? ???????? ??? ?????? ???? ???? ????? ?? ?????? ????? ??????? ???? ????? ??? ???? ???????? ??? ???????? ???? ??? ?? ???? ?? ??? ????? ??? ???? ??????? ?????? ??????. (c-v <0)
 ???????? ??????? ????????? ???????? ??? ???? ????? ?? ???? ????? ??? ?? ?????? ????? ??????? ???? ???? ??? ????? ???? ????? ?????? ????? ???? ?? ?????. ???? ????? ??? ?????? ??????? ??? ???????.
 ?? ??? ????? ??? ???? ????? ?? ?? ???? ????? ??????? ?????? ???? ?? ???? ???? ?? ??? ????? ?????? ???? ????? ??????? ?? ?????? ?? ???? ???????? ????? ???? ??????? ?????????? ??? ???????? ???????? ??????? ??????? ??????? ????? ?????? ????? ??????? ???????? (c1 ?c2) ??????? ????? ???? ?????? ?????: (S = m1(c1 - v1",100
?????,") + m2(c2 - v2
 ??? ???? m1  ? m2 ???? ?????? ????? ?????? ?? ???????. ???? ???????? ????? ???? ?? ??????? ???????? ????????? ?????? ???? ?? ???? ??????? ?????????(????? ??????) ???????? ???? ???? ??? ?????? ???????. ???? ?????? ??? ???? 10 ????????? ?????? ???? ?????? ???? ???? ??????? ????????? ???? ??? ????? 0.4 ???? ??? ??????? ?????????? ??? ???????? ???????? ??????? ????? ???? ?????? ??? ????? 0.75 ???? ????????? ??????? ?????? ???? ???? ????? ??? ?????? ??? 1 ???? ??? ???? ?????.
 ??? ?????? ????????? ???????? ???? ??????? ??????? ????????? ??? ?? ??? ?????? ???? ??????? ????? ???????? ?? ????? ???? ???????? (???? ?????? ????? ?????? ????? ?????? ???? ????? ?? ??? ????? ??????)? ????? ???? ?????? ????? ?????? ?????? ?????? (????? ?????? ?????? ?????? ?????? ?? ???????) ?????? ???? ????? ?????? ???????? ??????? ???????? ?????? ?? ???????? ???????. ????? ?????? ???????? ???? ????? ??? ?? ??? 45 ????? ??? ????? ?????? ??? 15 ???.[24]
 ???? ???????? ?????? ?? ???? ???????? ??????? ???????? ???? ???????. ???? ?????? ???? ???? ?????? ??? ???? ?????? ??????? ???? ???? ????? ?? ????? ?????? ???? ??? ???? ????????. ???? ?????? ???? ?????? ?? ?????? ??????? ????? ??? ????? ?? ????? ?????. ???? ????? ???????? ??? ???? ??????? ???? ?????? ????? ??????? ????? ??????? ?????? ?? ????? ???????? ?? ?????? ?????? ??? ???????? ?????? ??? ???? ???? ???? ?????? ??????. ???? ????? ?????? ??????? ??? ???? ????? ????? ????? ?? ???? ?????? ???? ????? ?? ???? ???? ????? ??? ???? ??????? ????? ?",100
???? ????? ?????? ?????? ??????? ???????,"???? ???? ???? ?? ??? ???? ?? ???? ????? ???? ?????? ?? ????????. ????? ????? ??? ????? ??? ????? ?????? ???? ??????? ?????? ??????? ??? ???? ??? ???? ???? ??????? ??? ???? ???? ????? ???? ?? ???? ??????? ???? ??????? ?????? ???? ???? ??? ?????? ????? ???????.
 ?? ??? ???? ?????? ?? ?????? ??????? ???? ?? ??? ????? ???? ???? ????? ?????? ??????? ??????. ???? ??? ??????? ??????? ???? ?????? ?????? ??????? ??? ?? ?????? ????? ?????? ???????? ??????? ??? ?????? ???? ??? ???? ??????? ?????? ?? ??????. ????? ????? ?????? ????? ??? ???? ????? ????? ???? ???? (????? ?????? ????? ????????\??? ?????? ??????) ???? ????? ???? ???????? ?? ?????? ???????.
 ????? ???????? ?????? ?? ???? ??????? ?? ???? ????:[25] ????????? ?????? ???? ???? ????? ?? ?????? ??????? ??? ???? ????? ????? ??????? ???? ????? ???? ?? ?????? ??????? ??? ???? ?????. ???? ???????? ?????? ???? ?????? ?????? ??? ????? ???????? ??????? (???? ???????? ????? ?????) ???????????? ???????. ????? ?????? ??????? ???? ???? ????????? ?????? ????????? ???? ???? ????? ???????? ?????? ????? ?????? ????????? ??? ??????? ???????? ???? ???? ???? ?????? ?????. ?????? ???????? ??????? ???? ?????? ???? ?????? ???????.
 ??? ????????? ???????? ?????? ????? ?????? ?? ????? ???? ??? ???????? ???????. ???????? ??? ???? ????? ????? ?????? ???? ??? ?????? ????? ??????? ?????? ???? ?????? ???? ????? ???? ?????? ???????. ????? ???? ????? ?????? (HP) ??? ??? ???? ??? ???? ????? ??? ?????? ???? ????? ??????? ???? ?????. ????? ???? ????? ?????? ????",100
???? ????????,"? ???????? ???? ?? ????? ?????? ??????. ???? ?????? ?????? ????? ??? ???? ?????? ????? ????? (LP) ??????? ????? ????? ????? (LP) ????? ???? ??? ?????. ??? ???????? ????? ????? ?????? ??? ???? ?????? ??????. ?????? ?????? ????????? ??? ???????.
 ???? ?????? ???????? ??????? ?? ?????? ???????? ??????? ???? ???? ???? ????? ??????? LP ?????? ????? ???? ????? ?? ?????? ???? ?????? ??????? ??????? ?????? ??????. ??? ???? ?????? ??????? ????????: ??????? ?????? ???????? ?? ????? ?? ??????? ??????? ?? ???? ???????? ?? ??? LP ???????? ??? ?????? ???? ????? ?????? ???????. ???? ????? ??????? ????? ??????? ??? ??? ???????? ???? ???? ?????? ?? ??? ??????? ???? ????? ???? ???????? ???? ???? ??? ??? ???????.
 ??? ???? ??? ???????? ?? ??? ?????? ??????? ??????? ????????? ???? ??? ???????? ?? ????? ???????? ???????? ???? ????? ??????? ???? ????????? ????? ????? (????????? ???????? ???????? ?????? ??????). ???????? ??????? ?????? ???? ???? ?????? ?????? (????? ?????? ?????)? ???? ?????? ????? ?????? ??? ??? ?? ???? ???? ????? ??????? ???????? ?? ?? ??? ?????? ??????? ?? ???? ???????\??????? (???? ?????? ??????? ??????? ??? ???? ?????? ???? ??? ?????? ??? ?????? ????????? ?? ??????? ???????) ???? ??????? ??? ????? (????? ???????? ???? ?????? ??? 4:1 ? 8:1 ?????? ?????)? ???? ????? ??? ?????? ??? ????? ????? ???? ??? ?????? ???? ????? ?????? ???? ???????? ????? ??? ?????.[26]
 ??? ?????? ???????? ??????? ???????? ??????? ???? ??? ???? ????? ????? ??? ???? ???? ????? ????? ????? ?? ????? ??? ???",0
???? ?????,"? ??????? ???????? ???????.[27] ??? ?????? ??????? ?? ???? ? ????? ???????? ??? ??????? ??? ??????? ??????? ???? ?????? ??????? ????? ?????? ??????? ?????? ???? ??? ????? ??? ?????? ??? ??? ???? ?????. ?????? ?? ????? ???? ???????? ??? ?? ?????? ??????? ???? ???????? ??? ??? ?? ?????? ???? ?? 2:1.
 ?????? ???????? ???????? ??? ???? ????? ???????? ??????? ??? ???? ?????? ?? ????? ?? ?????. ?????? ???????? ????? ??:
 ???? ????? (???? ??? ?????? ??????? ???? ?????) ?? ??????? ?????? ???????? ?????? ?? ??? ??????? ???? ?????? ?? ?????? ????? ???? ?? ??? ?????????? ???????.
 ?? ???? ?? ??? ???? ?????? ????? ??? (???? ??????) ??? ?????? ?????? ???? ?? ??? ???????: ????? ?????? ?????? ?? ?????? ?????? ????? ??????.
 ???? ???? ?? ???? ?????? ???? ??? ??? ?????? ?? ???? ?????? ???????? ???? ??????? ?????? ?? ???? ???? ????? ????? ????? ?? ????? ?????? ????? 1 ???? ???? ??? ???????? ????????. ???? ???? ?????? ??? ????? ??????? ???????? ??? ???? ?????? ?????? ?? ??? ?????.
 ???? ???? ?????? ??????? ????? ???? ?????? ???????? ??? ??? ?????? ????? ?? ???? 0.85 ???.
 ????? ????? ???? ???? ???? ????? ?? ??????? ?????? ???????? ??? ??? ?????? ???? ?????? ???? ????? ??????.
 ????? ?????? ????? ???? ????? ?????? ?? ???? ?? ???? ???? ?????? ??? ??? ??? ???? ????? ??????.
????? ????? ?? ????? ????? ??????:
 ?- ????? ???? ??????: ????? ?????? ??? ????? ??????. ???? ??? ????? ??? ??????? ????? ??? ?????? ??????? ??? ???????? ??????? ??? ??????? ??????? ?? ?????? ?????? ????? ??? ?????? ?? ?????? ?",100
