Question,Responses,Generated Questions,Relevance Score
?? ?? ?????? ???????? ??????? ???????? ?? ????? ?????? ????? ??? 2020 ??? ????? ????? ???? ????????,"?? ??? 2020 ? ?????? ?? ???? ???? 50? ?? ???? ?????? ??????? ? ?? ?? ?????? 0.5 * 0.75 = 0.375 ?? ????? ??????? ????? ?????? ?????.
??? ?? ??? ??????? ????? 4? ?????? ???? ??????? ????? ??????? (2000-2005) ? ??? ?????? ??????? ??????? ??????? ???????? ?? ?????? ?? ??? 2020 ????? 0.375 - 0.04 = 0.35",?? ?? ?????? ???????? ??????? ??????? ???????? ?? ????? ?????? ?? ??? 2020? ??? ?????? ?? 50? ?? ?????? ??????? ?? ???? ????? ?? ??? ?????? ???? ?? ??? ??????? ????? 4? ?????? ???? ??????? ????? ??? 2000 ? 2005?,89.07292469
?? ????? ???? ????? ??????? ??????? ?? ????? ????? ???? ???? ?? ???? ??? ??????? ??? ????????,???? ??????? ??????? ????? ?????? ?? ????? ????? ????? ????? ??????? ?? ???? ?????? ?? ???? ????? ???? ????? ?? ?????? ?????. ????? ???? ????? ????? ??? ???? ????? ? ????? ???? ????? ????? ? ????? ???? ??? ??? ?????? ?? ????? ?? ?????? ????? ?? ???? ??????. ??? ??? ? ????? ??? ??? ??????? ?? ?????? ??????? ? ??? ????? ??? ?? ????? ????? ? ??? ???? ??? ???? ????? ??? ?????? ????? ???? ?????.,?? ?? ????? ???? ????? ??????? ??????? ?? ????? ????? ????? ????? ???????? ????? ???? ??? ??? ??????? ?? ??? ????????,88.78108556
?? ?? ??????? ???? ?????? ??????? ??????? ??? ??????,???? ??????? ??????? ?????? ?????? ??? ????? ? ??? ?? ????? ?????? ?? ????? ???????? ???????? ??????? ??? ? ????? ?? ??????? ?????? ??? ?????? ??????? ??????.,?? ?? ?????? ???? ????? ??? ??????? ??????? ??? ??????,96.34984552
?? ?? ?????? ???????? ?????? ????? ?????? ???? ???40 ??? ??????? ??? ?? ??? ????? ??????? ????? ????????,??? ????? ??????,"?? ?? ??????? ???????? ?? ""Half of the world's coral reefs""?",60.65974932
?? ?? ??????? ???????? ?????? ?????? ??????????,???? ?????? ?? ??????? ???? ???? ??? ????? ?????? ?????????: ?????? ?????? ?? ??????? ??????? ????????? ??????? ?? ????? ???????.,?? ?? ??????? ???? ???? ??? ????? ?????? ??????????,94.46863999
?? ???? ?????? ???????? ??? ????? ?????? ?? ????? ????????,?? ?????? ??? ???? ??? ??? ????,??? ??? ?????? ?????,69.47504897
?? ?? ????????? ???????? ?????? ????????,????? ????? ????? ???????? ??????? ??? ?????? ????? ??? ????? ? ??? ???? ??? ???? ??????? ?? ??? ??????? ? ????? ????? ????? ????? ???? ?????? ???????. ??? ??? ????? ??? ?????? ??? ??????? ???? ?? ????? ?????? ?? ?????? ?? ?????? ????????.,?? ?? ?????? ???????? ?????? ????? ???????? ??????? ??? ?????? ?????????,86.77016555
?? ?? ????????? ???? ????? ????? ???????? ??????,???? ????????? ???? ????? ??? ????? ?????? ????? ?????? ????? ??????? ?????? ??????? ????? ?????? ????????? ??????? ?????? ?????? ???????. ?? ?????? ????? ??????? ? ?? ???? ??????? ???????? ?????? ?? ?????? ??????? ??? ?????. ?? ????? ??????? ? ?? ????? ????? ?????? ?? ???????? ??????????. ?? ???? ?????? ? ?? ????? ????? ???? ??????? ? ??? ???? ??? ?????? ?? ?????????. ?? ??? ??????? ? ??? ????? ??????? ?? ?????? ????? ? ??? ????? ??? ????? ???? ??????.,?? ?? ????????? ???? ????? ????? ???????? ?? ????? ???????,96.22810652
?? ?? ??????? ???? ???? ???? ????? ???????,????? ???????? ???? ?????? ?????,?? ?? ????? ?? ??????????? ???????? ?????? ?????? ?? ????,61.41336236
?? ?? ??????? ???? ??? ??? ????? ???? ????? ?????? ?? ????,????? ????? ?????? ??? ?????? ????????,?? ???? ??? ??? ????? ????? ?????? ??? ?????? ?????????,64.21020262
?? ?? ?????? ??????? ??????? ??????? ???? ???????? ????? ????????,??? ????? ??? ???? ?? ?? ???? ?????.,?? ?? ????? ??????? ?????? ???????? ????? ???? ?????? ?? ?????????,78.10098395
?? ?? ?????? ???? ??? ???? ?? ?????? ??? ????? ????? ???? ??? ????? ?????? ????? ??????? ????? ?????? ????? ???? ????? ????????? ?????,??? ???? ?????? ???????,?? ?? ????? ?????? ????? ??????? ?? ????? ???????,61.48813089
?? ?? ??????? ???? ??? ?????? ??? ????? ??? ????? ????????? ??????? ??? ?? ?????? ????? ??? ??? ??? 1938?,????? ????????? ????????? ????? ?????? ???? ????????? ???????? ?? ??? ?????? ???? ???? ?? ??? ?????.,?? ?? ?????? ???? ???? ????? ??? ??????? ??????? ??? ???? ???????? ?????? ???? ????????? ??????? ????? ?? ??? ??????,61.9548431
?? ?? ????? ??????? ???? ????? ????? ??????? ?????????,??????? ????????? ?????????? ?????? ??????? ????????,?? ?? ??????? ???????? ????? ??????? ?????????,67.08117043
?? ?? ?????? ?????? ???? ??????? ???? ????? ?????? ?? ????? ??????? ???? ???? ??? ?????? ?? ????? ????? ?????? ?????????,??? ????? ????? ??????? ?????? ????? ?? ????? ?????? ????????? ????? ?????? ??????? ???? ??????? ?? 2.2% ??? 1.8% ??????.,??? ???? ?????? ??????? ???? ??????? ??? ????? ????? ??????? ?????? ????? ?? ????? ?????? ?????????,92.01521686
?? ?? ????? ???? ???? ??????? ?? ?????? ??????? ?????????,????? ??????????,?? ??? ???? ?????? ?? ??? ??? ?????? ?? ???????,64.01477307
?? ?? ?????? ?????? ??? ?? ?????????? ?????????,?????? ?????? ????? ?? ???? ???? ?????? ???????? ??? ???? ?????????. ?????? ???? ????? ?? ??????? ???? ??????? ???????? ??????? ????? ?????? ?????. ???? ?????????? ?????? ???????? ????????? ????????? ????????.,?? ?? ?????? ?????? ??? ?? ???????????,98.10167318
??? ???? ???????? ???? ??? ???? ??????,???? ???????? ????? ?????? ?? ????? ?????? ??? ?? ????? ?????? ??????? ???????. ????? ???? ????? ????? ?? ????? ??????? ?? ????? ??? ??? ???? ???? ???? ??????.,??? ???? ???? ???????? ????? ?????? ??? ?? ?????????,96.8739309
?? ?? ?????? ?????? ??? ?? ?????? ???????,?????? ?????? ?? ???? ???? ??????? ??????? ?????? ??????? ?????? ?? ????? ???????. ??? ?????? ?? ????? ????? ?????? ??? ??????? ????? ???????.,?? ?? ?????? ?????? ???? ??? ???????,94.52018152
?? ?? ???? ??? ?????? ??? ??? ?? ?????? ?????? ????? ?? ????? ????????? ???????? ??? ??????? ??????????? ?? ??????? ???????? ?? ??? 1923?,??? ????? ??????? ?? ???? ???????? ??????? ????????? ?? ??? 1923 ??????? ??? ??? ???? ???????? ??????? ??? ???????? ????????? ?? ???????? ??? ??????? ?????? ????????.,?? ??? ??????? ?? ??? 1923 ???? ?? ???? ???????? ??????? ??? ???????? ????????? ?? ???????? ??? ??????? ?????? ???????? ??? ?? ?????? ???? ??? ??? ??? ????????,88.339773
??? ???? ??? ????? ???? ???? ?????,?? ??????? ???? ????? ????? ????? ???? ?? 15 ???? ??? 1941.,??? ?? ??????? ???? ????? ????? ????? ?????,93.18139926
?? ?? ??????? ???? ??? ??????? ???? ????? ??????? ??? ?????? ?????? ???????? ????????,?????? ?????,"?? ?? ??? ?????? ???????? ?????? ???? ??? ""??????"" ?""???????""?",61.06032948
??? ??? ??????? ???????? ??????? ?? ???????? ??????? ???? ????,????? ??? ?????????,?? ?? ??? ?? ????? ?? ????? ??? ??????,58.57636148
?? ?????? ???? ???? ???? ??? ?????? ???????,???? ????? ???? ??? ??? ???? (c-v) ???? ?? 0.,?? ?? ???? ???? ???? ??????,82.47228293
?? ?? ?????? ?????? ?????? ??? ?????? ??? ???? 1 ????,???? ?????? ?????????,?? ?? ????? ?????? ????? ??????? ???? ?????? ??????? ???? ?????? ??????????,70.80302308
?? ?? ?????? ???? ????? ???? ????? ?????? ???????,???? ????? ?????,?? ?? ?????? ???? ???? ???? ????? ????? ?? ?????? ????????????,69.79566854
?? ?? ???????? ??? ?????? ??????? ??????? ??????????,?????? ???????? ??????? ??????? ??? ???? ???? ????? ?????? (??? ???? ?????)? ????????? ???????? ??? ??? ???? ???? ??? ???? ??? ????? ??????? ?? ?????? ??? ???? ??????.,?? ?? ????? ??? ?????? ???????? ??????? ??????? ????????? ?? ??? ?????? ?????? ??????? ???????,82.97564432
?? ?? ??????? ?????? ???????? ?????? ?? ??? ?????? ?? ???????? ????????,???? ?????,?? ?? ??????? ???? ?????? ???? ??? ?? ????? ?????? ????????,58.85759917
?? ?? ????? ???? ???? ????????? ?????? ????? ????? ???????? ??? ??????? ????????,????? ???? ????? ?? ????????? ?? ???? ?? ??????? ??????? ????????? ???????? ?????? ??? ?????? ??????? ????? ????? ???????. ?????? ??????? ????????? ?? ????? ??? ??? ?????? ?????? ????? ????? ????? ?????? ?????? ??????? ?? ?????? ??? ?????? ?????? ?? ?????? ??????? ???????.,?? ?? ???? ????? ???? ???? ?? ?????? ????? ??? ?????? ??????? ????? ????? ????????,92.73533875
?? ?? ???????? ???? ?????? ?????? ?????????,????? 21 ? ? 104 ? BAC tsr-2,?? ?? ????? ??? ?????? ?????? ??????? ?? ????? ????????,66.9195509
?? ?? ???????? ???? ???? ????? ?????? ???????? ?? ?????? ??? ??? ?????? ????????,???????? ???? ?????? ??? ??????? ???? ????????? ??????? ??? ?? 15 ???????? ???????? ????????? ??????? ??? ?? 14 ??? ???.,?? ?? ??? ???????? ???? ?????? ??? ????????,78.85569349
?? ?? ??????? ???? ?? ???? ??? ????? ??????? ??? ??????? ?? ???? ???????,???? ??????? ???????? ?????? ???????,?? ?? ??????? ???? ????? ?? ????? ????? ???? ???????? ????????,73.32931996
?? ?? ????? ??????? ??????? ?? ???? ???????,????? ??????? ?? ????? ???? ??????? ?? ????? ???? ???????? ??? ??? ?????? ?????? ? ??????? ?? ??? ???? ???? ??????? ?? ??????? ??????.,?? ?? ????? ??????? ?? ????? ???? ????????,94.73085862
?? ?? ?????? ??????? ?????? ??? ?? ??????,?????? ????????????? ?? ??????? ???????? ????? ????? ?? ????? ??????? ?????? ?? ?????? ??????????????? ???? ???? ???? ?????.,?? ?? ?????? ????? ??????? ???????,96.33293125
?? ?? ?????? ?????? ?????? ???????? ?? ???????? ????????,?????? ????? ?????? ????? ???????? ?? ?????? ???????? ??????? ??? 2200 ???? ????? ? 2500 ???? ?????.,?? ?? ????? ?????? ????? ???????? ?? ?????? ???????? ????????,83.95821549
??? ??? ?????? ?? ??? ?????? ?? ?????? ???????,???? ?????? ??????? ?????? ???? ?????? ?????? ????? ?????,?? ??? ???????? ?????????? ?? ?????? ?????????,71.36703927
?? ?? ????? ?? ???? ?????? ?? ?????? ???????,??????? ???? ?????? ??? ?????? ?? ???? ?????? ??? ???? ???????? ?? ??????.,?? ?? ????? ?? ??????? ???? ?????? ?? ????????,87.14739645
?? ?? ????? ??????? ????? ??????? ?? ???? ????????,????? ???? ??????? ??? ????? ???????? ???? ?????? ?? ???? ????? ??? ???? ??????? ???????? ?????? ??? ???????. ??? ??? ???? ???? ??????? ??????? ??? ?????? ??????? ??? ??????.,?? ?? ????? ???? ??????? ???? ???????,84.87273509
??? ???? ???????? ?????? ??????? ??????? ??? ?? ????? ???? ??????? ???? ??????,?? ????? ????????? ???????? ???? ??? ?? ?????? 2019 ??? ??????? ??????? ??? ?????? 49 ???? ???????? ?? ?????? 2023.,??? ?? ????? ????????? ???????? ???? ??? ???? ?? ???? ?? ??????? ????????,84.80846997
?? ??? ?????? ??????? ????? ????? ??????? ??????? ???????? ?? ????? 2023?,???? ?????? ?????,?? ?? ????? ???? ???? ??? ??? ?????? ????? ?????? ????????,63.2102376
?? ?? ??????? ???? ?????? ???????? ????? ??????? ????? ??? 2030?,150 ????? ???? ??????? ????????,?? ?? ??? ?????? ????? ???????? ??????? ??????? ???????? ?????? ??????? ?????????,69.04289041
?? ?? ?????? ???? ?????? ???????? ?? ????? ????? ?????? ???????? ???? ????? 2023 ??????? ?????? 2019?,150%,What is the percentage equivalent of 1.5?,58.53477167
?? ??? ??????? ???????? ????????? ?? ?????????,???? ?? 10 ????,?? ?? ??? ????? ????? ????? ????? ???????,56.90655477
?? ?? ???? ???????? ?? ????? ??????? ????????,????? ???????? ?? ???? ??????? ???? ??????? ???????? ?? ??? ?? ???????? ????????.,?? ?? ???? ???????? ?? ????? ???? ??????? ?????? ??????,88.23922887
?? ?? ?????? ??????? ?????? ???????? ?? ???????? ?? ??? ????? ?????? ???? ????? ??????? ??? ?????? ???????,27,What is the cube root of 19683?,49.49127801
?? ?? ???????? ???????? ?? ?????? ??????? ??????? ???????? ??????? ??????? ????????,???? ?????? ?????? ?????? ????? ??? ??????? ?? ????????? ????? ?????? ??????? ??????? ?????? ???????? ??????? ????????? ?? ????? ??????.,?? ?? ??????? ???? ???? ?????? ?????? ??? ?? ??? ??????? ?????????,71.93531279
?? ?? ??? ????? ?? ???????? ???????? ??????? ?????????,?????? ???? ???????,?? ?? ??? ????? ???????? ?? ??????? ??????? ?????????,81.51232735
?? ?? ????? ????? ?????? ?? ??????? ??????? ?????????,?????? ??????? ????????? ??? ?? ????? 75? ?? ??????? ???????? ??????? ????????? ???????? ??????? ????????.,?? ?? ?????? ??????? ???? ?????? ????? ??????? ????????? ?? ??????? ???????? ??????? ????????? ?? ??????? ??????? ?????????,82.05172122
?? ?? ?????? ??????? ?????? ???? ??????? ?? ?????? ??????? ?? ??????? ??????? ?????????,21%,What is the percentage value of 21 out of 100?,59.84927345
?? ??? ??? ??????? ???????? ???????? ?? ???????? ????? 2018??,151 ??? ????,?? ?? ??? ??????? ???? ??? ?? ????? ???????,76.60084261
?? ?? ??????? ??????? ?????? ??? ????? ????? ?? ?????????,????? ?? ????? ????? ????? ??????? ??????? ??? ?? ??? ???????? ????????? ????????? ??????? ????????? ????????? ??? ???? ?????? ????? ???????? ?? ???? ???? ????? ?????? ???? ???? ????? 30 ????? ???????? ?? ???????? ????? ?????? ??? ??????? ????? ?? ???? ????? ??????? ????? ??? ??????? ??????? ????????? ????????? ???????.,?? ?? ????? ????? ??????? ?? ????? ????? ???? ???? ?????? ??????,87.69506502
??? ?? ????? ??? ????????? ????? ???? ????? ?? ??? ???? ?????? ??????? ??????? ?????? ?????????,2014,What year was the soccer World Cup held in Brazil?,56.59444343
?? ?? ???????? ???????? ?? ????,"????? ??? ??? ???? ?? 5,431 ????? ?????? ???????? ??????.",?? ??? ?????? ??????? ????????? ??????? ???? ????? ????? ??????,74.32917472
?? ?? ???? ??????? ?? ???????? ??? ?? ????? ??????? ????????? ???? ????? ??????,?????? ?????? ?? ???????? ????? ??? ????? ????? ???? ????? ??????? ?????????? ???? ???? ??? ?????? ??????? ?? ??? ??????? ???????? ?????? ?????? ??? 3700 ???? ??????? ????? ??? ??????? ????????? ??? ????? ?????? ??? 221 ????? ??? ??????? ????????? ?????????.,?? ?? ??????? ???????? ??????? ???? ???? ?????? ?? ?????? ?????? ?? ?????????,85.91077209
?? ??? ?????????? ??????? ???? ???? ?? ?????????,???? ?? 45 ???????? ??????,?? ??? ?????????? ??????? ???? ???? ?? ????????,85.7716592
?? ?? ?????? ??????? ???? ???? ???? ?????? ???????? ??????? ?? 20 ????? 2024?,"?????? ??????? ?? ""??? ?? ??????? ??????? ????????"".",?? ?? ????? ???? ???? ??? ?????? ??????? ?? ??????? ??????? ?????????,76.02687036
"?? ?? ??? ??????? ???????? ?????????? ?? ????? ???????? ??? ????? ???? ""???????"" ???????? ?? ??? 2014?","??? ??? ??????? ???????? ?????????? ?? ????? ???????? ?? ??? 2014 ????? 1?320 ? ?? ?? ????? 2.1 ? ?? ?????? ???????? ????????. ????? ???? ??? ????? ?? ??? ?????? ???? ???? ????????. ???? ???? 1?258 ?????? ???????? ?? ????? ??????? ?? ??? 2013 ? ???? 1100 ???? ?? ???? ?????? ???? ? ????????? ? ??????? ???????. ????? ??????? ??????? ???????? ?????? ?????? ????? ???? ""???????? ????????"" ?? 27 ????? / ?????? 2019 ? ??????? ???? ???????? ???????? ???? ????? ??? ??????? ?? ??????? ?? ?????. ???? ?????? ??? ??? ???????? ?????????? ?? ??? ?????? ??? ????? ???? ?? ???? ????? ? ?? ?? ???? ?????? ???????? ?????? ? ?????? ?????????? ?????? ???????? ????? ?????? ? ??? ?? ??? 49 ???? ??? ???????? ?????? ????? ????? ??? ???????? ???????. ???? ???? ???????? 440 ?????? ?????? ??????? ?????",?? ?? ??? ??????? ???????? ?????????? ?? ????? ??????? ?? ??? 2014 ??? ?? ???????? ???????? ???? ???? ??? ????? ??????? ?? ???????? ??? ??? 2013? ??? ???? ??????? ??? ???? ???????? ???????? ?????? ?? ??????? ??????? ????????.,86.58745603
?? ?? ??????? ???? ???? ?????? ??? ???????? ?? ?????? ?? ?????????,?????? ???????? ??????? ???????,?? ?? ??? ??????? ????? ??? ?????????,78.3770585
??? ??? ????? ?? ??? ???? ?????? ???? ???????,??? ????? ?? ??? 1900 ??? ??????? ?? ??? 1908,??? ??? ????? ??? ??? ??????? ???? ?? ????????,70.05103389
?? ?? ???? ?? ???????,??? ?????? ?? ???? ?? ????? ???? ?????? ???? ????? ??????? ???? ??? ??????? ??????? ?? ??????.,?? ?? ??????? ??????? ?? ?????? ???? ???? ?? ???? ?? ????? ????? ??? ??????? ??????? ?? ???????,68.76121287
?? ???? ??????? ??? ?????? ?????? ???? ????? ????? ?? ???? ???????,???? ??? ?????? ??????.,?? ?? ???? ???? ??????? ???????,64.2532413
?? ?? ????? ?? ????? ?? ???? ???????,????? ??????? ?? ????? ?? ???? ?????? ??? ?????? ????? ?????????? ????????? ?????? ?????????? ???????? ??? ????? ????????? ???????? ??????? ???? ???? ??????? ?? ???? ??? ??? ???????? ????????.,?? ??? ????? ??????? ?? ????? ?? ???? ???????,89.55481586
?? ?? ????? ???? ????????? ?????? ????????? ?????? ????? ?? ???? ???????,???? ??? ????? ?????? ??? ????? ????? ????? ???????? ???? ????? ? ????? ????? ?????? ????? ???? ???? ??? ??? ? ????? ??? ?????? ?? ????????? ????????? ??????? ??????? ?????? ?? ????????? ? ????? ?????? ????????? 10? ?? ????? ??????? ????????? ?? ????? ???????.,?? ?? ??? ????? ???? ??? ??? ????? ????? ??? ?? ?????? ??????????,86.44588075
??? ??? ?? ???? ?????? ??? ??????? ????????,??? ?? ??? ???? ?????? ??? ????? ??????? ??????? ??? 1908?.,??? ??? ?? ??? ???? ?????? ??? ????? ??????? ????????,95.18288962
??? ?? ?????? ??? ????? ?????? ???????? ??? ?? ??? ?????? ????????,?? ?????? ??? ??? ??????? ?? ???? ???? ?? ??? ??? ???? ??????? ???? ????? ?????? ?? ????? ????.,??? ?? ?????? ??? ????? ????? ???? ????????,89.46193372
?? ??? ????? ???? ??????? ?? ???? ??? ?????,????? ??? ????,?? ??? ??????? ???? ???? ??? ?? ??? ???????,77.8196823
?? ??? ??? ???????? ???? ???? ???? ??? ???? ???????,132,What is the sum of 100 and 32?,55.09832646
?? ??? ???????? ???? ?????? ???? ?????? ???? ??? ???? ???????,?? ????? 12 ????,?? ??? ??????? ???? ?? ????????,72.66825551
??? ??? ??? ???? ??? ???? ??????? ??????? ?????? ?? ?????,??? ??? ???? ??? ????? ??????? ??????? ?? ???? ?? 23 ????? 1908 ?.,??? ??? ??? ???? ??? ????? ??????? ??????? ?? ?????,97.46995601
?? ?? ??????? ???? ??? ??? ?? ???? ???????,???? ??????? ???? ?? ?????? ?? ???????? ?? ????? ???????? ?? ??? ?????? ????????? ?? ??? ??????? ????????? ?? ????? ??????? ?????? ????????. ??? ???? ?? ?????? ????? ??????? ????? ????? ?? ?????? ????????? ???????? ?????? ?????? ??????? ??? ??? ????.,?? ?? ??????? ???? ???? ???? ???? ????????,85.14224124
??? ???? ??? ????? ??? ??????? ?? ?? ???? ?????? ??? ??? ???????,??? ??? ???? ???? ????? ?????? ??????? ????? ????? ??? ??????? ?? ??? ???? ????? ?? ??? 1336 ??.,??? ??? ??? ???? ???? ????? ?????? ??????? ????? ????? ??? ????????,74.59820226
??? ???? ?????? ??????? ?????? ??? ?? ???? ???? ??????,???? ?????? ??????? ?????? ?? ?????? ?? ????? ??? 1916 ?????? ?? ???? ????? ?????? ?????? ?????? ???????? ??????????.,??? ???? ?????? ??????? ?????? ??? ??? ?????????,96.77269654
?? ?? ????? ???? ???? ?? ???? ?????? ???? ?????? ????????,????? ???? ??????? ??????? ?? ??? ?????? ?????? ??? ???? ?????? ?????? ?????? ????????? ????????? ??? ?? ????? ??? ?????? ??? ?? ????? ????? ???????? ?? ?????? ??? ???????.,???? ??? ????? ???? ??????? ??????? ?? ??? ?????? ??????,63.03045444
?? ?? ????????? ???? ??? ?????? ????? ?? ???? ???????,???? ???? ?????? ?? ????????? ?????? ????? ?? ??? ???? ??????? ??? ??????: ????? ??? ?? ?????? ??? 1955?? ???? ???? ?? ???????? ?????? ???????? ????? ??? ????? ????? ???? ???? ??? ?????.,?? ?? ??? ????????? ??????? ?????? ????? ?? ??? ???? ???????,94.58415248
?? ?? ??? ?? ??????? ??????? ?? ???? ???? ??? ???? ????????,???? ???? 451.5 ?????????.,?? ?? ??? ??????,59.76085282
?? ?? ??????? ???? ????? ??? ???????? ?? ??? 2008??,????? ??? ???? ???? ??? ??? ??????? ???????? ??????? ????? ?????? ??????,?? ?? ??????? ???? ????? ???? ??? ???? ???? ??? ??????? ???????? ??????? ?????? ?????? ???????,72.32007807
??? ?? ????? ?????? ?????? ??? ??????? ????? ???? ???????,?? ????? 2015?,??? ????? ????? ???? ???? 2016??,55.06315821
?? ?? ??????? ?? ????? ???????? ??? ?? ????? ????,??????? ?? ????? ?????? ???? ?????? ???????? ?? ???? ?????? ??? ????? ????. ????? ??????? ??? ?? ????? ???? ?????? ?? ???? ????? ???? ???????? ???? ??? ????? ?? ??? ????. ???????? ??? ???? ???? ??????? ??????? ?????? ?????? ??? ??????? ??????? ?? ???? ??????.,?? ?? ??????? ??? ?? ??????? ???????? ?? ???????? ?? ????????,91.30244148
?? ?? ????? ??????? ?? ?????????? ?????? ???? ????,??????? ?? ????? ?????? ?????? ????? ?????? ?????????? ??? ????? ???? ???? ????? ??? ??????. ??? ?????? ??? ???? ??????? ?? ??? ???????? ???? ????? ? ????? ???? ?? ??? ???? ???? ?????? ?????????? ??????? ?? ?? ????? ??? ????? ??????? ?? ???? ??? ?????? ??????. ??? ?? ????? ?? ???? ?????? ?????????? ??? ?? ???? ? ????? ??????? ??? ????? ???? ???? ????? ??????? ??????. ??? ????? ??? ??????? ??????? ?? ???? ?????? ?????????? ??? ???? ?????? ??? ??? ??????? ??? ?????? ????????.,?? ?? ??????? ?? ???? ??????? ???? ?????,92.06522982
?? ?? ????? ?? ??????? ?? ?????? ????????,????? ?? ??????? ?? ?????? ??????? ?? ????? ?????? ??? ????? ??????? ???????.,?? ?? ????? ?? ??????? ?? ?????? ????????,100
?? ??? ??????? ??????? ?? ??????? ??? ????? ??????? ????? ?????? ????????,??????? ???? ???????,?? ??? ??????? ????????? ?????? ?? ??? ??????,55.27576472
?? ?? ?????? ??????? ???? ???? ?? ?????? ??????? ?? ???? ???????,???? ????? ???? ?? ?????? ???? ?????? ??????? ?? ??? ?????? ?? ??? ???????.,?? ???? ???? ?? ????? ???? ?????? ??????? ?? ??? ?????? ?? ??? ??????? ?? ?????? ???????,70.24406895
