Question,Responses,Generated Questions,Relevance Score
?? ?? ?????? ?????? ???? ??????? ???? ????? ?????? ?? ????? ??????? ???? ???? ??? ?????? ?? ????? ????? ?????? ?????????,???? ?????? ????? ??????? ???????? ??????? ?????? ?????????? ??????????? ????? ??????? ?????? ????? ??????? ?????? ????? ??????? ????? ????? ????? ????? ??????? ?????? ????? ???? ??????? ??????? ?? ???? ????? ?????? ??? ??? 1990. ??????? ??? ??????? ?????? ????? ??????? ?? ???????? ???? ??????? ????? ?????? ?????? ?????? ???????? ?????? ??????? ??????? ?????? ?????? ?????? ?????? ?????? ?? ????? ????? ??????. ????? ??????? ????? ?????? ?????? ?????? ?? ???? ?? 160 ?????. ??? ?? ????? ??? ?????? ????????? ?? ??? ???????? ????? ??????? ???????,?? ?? ????? ???? ????? ?????? ????? ??????? ???????? ??????? ?????? ?????????? ??????????? ????? ??????? ?????? ????? ??????? ?????? ????? ??????? ?? ????? ??????? ??????? ??????? ??? ????? ???????,53.64702285
?? ?? ????? ???? ???? ??????? ?? ?????? ??????? ?????????,???????? ????????? ???????? ????? ?????????? ???????? ?????? ?????????? ??????????? ?????????,?? ?? ??? ????? ???? ???? ?? ?????? ?????????,62.71330885
?? ?? ?????? ?????? ??? ?? ?????????? ?????????,??????? ???? ?? ???? ??? ????? ?????? ???? ?? ??? ??? ????? ?????? ???????? ????? ?? ???? ?????.,?? ?? ????? ????? ??????? ???? ?????? ????? ?????? ?? ????? ????? ????? ?? ??? ????? ?? ?????? ?????????,60.53938039
??? ???? ???????? ???? ??? ???? ??????,????? ?????? ???,?? ?? ????? ???? ??? ????? ?????? ????,56.51734131
?? ?? ?????? ?????? ??? ?? ?????? ???????,1910,In which year was the Boy Scouts of America organization founded?,50.79048649
?? ?? ???? ??? ?????? ??? ??? ?? ?????? ?????? ????? ?? ????? ????????? ???????? ??? ??????? ??????????? ?? ??????? ???????? ?? ??? 1923?,????? ?????????,"?? ?? ??? ?????? ???? ??? ????? ""???? ??????""?",57.48090959
??? ???? ??? ????? ???? ???? ?????,1939,In what year did World War II begin?,55.62057062
?? ?? ??????? ???? ??? ??????? ???? ????? ??????? ??? ?????? ?????? ???????? ????????,????? ?????,"?? ?? ??? ????? ???? ???? ??????? ?? ????? ""??????? ??????""?",57.52793031
??? ??? ??????? ???????? ??????? ?? ???????? ??????? ???? ????,??? ?????????,??? ?? ????? ???? ??? ??????????,53.28059542
?? ?????? ???? ???? ???? ??? ?????? ???????,(c-v) <0),"For what condition regarding the variables c and v, would their difference be less than zero?",52.20853642
?? ?? ?????? ?????? ?????? ??? ?????? ??? ???? 1 ????,?????,"?? ?? ?????? ??????? ?? ""jet""?",61.19247973
?? ?? ?????? ???? ????? ???? ????? ?????? ???????,???? ????? ?????? ?????? ??????? ???????,?? ?? ?????? ???? ????? ??? ????? ???? ??????? ??????? ???? ?????,84.23390526
?? ?? ???????? ??? ?????? ??????? ??????? ??????????,???? ????????,?? ?? ????? ???? ???? ?? ???? ?? ????????? ??????????? ??? ???????? ?????????,63.6031492
?? ?? ??????? ?????? ???????? ?????? ?? ??? ?????? ?? ???????? ????????,???? ?????,"?? ?? ?????? ???? ???? ""???? ?????"" ?????????",57.62874781
?? ?? ????? ???? ???? ????????? ?????? ????? ????? ???????? ??? ??????? ????????,?????? ???????? ??????? ????????? ???? ??????? ?????? ???? ?????? ????? ????? ??? ?????? ?????? ???????,?? ?? ??????? ???? ??? ???????? ?????? ????? ???????? ??????? ????????? ? ??????? ??? ?????? ?????? ????????,77.21518182
?? ?? ???????? ???? ?????? ?????? ?????????,?????? ????? ????? ???????? ???? ?????-25 (???????????: Mikoyan-Gurevich MiG-25),?? ?? ????? ?????? ???????? ???????? ??????-25?,65.1084137
?? ?? ???????? ???? ???? ????? ?????? ???????? ?? ?????? ??? ??? ?????? ????????,?????????,?? ?? ??? ??????? ??????? ?????? ???? ???? ???? ??????? ?? ????????,70.70413442
?? ?? ??????? ???? ?? ???? ??? ????? ??????? ??? ??????? ?? ???? ???????,????? ????? ???????,?? ?? ??????? ???????? ?????? ????? ????? ?? ?????? ???? ??????,60.00529487
?? ?? ????? ??????? ??????? ?? ???? ???????,????? ???? ???? ?? ??? ??? ????,?? ?? ??????? ????? ???? ?????? ?????? ?? ?????? ????? ???????,66.99390547
?? ?? ?????? ??????? ?????? ??? ?? ??????,????? ????? ???????,?? ?? ??????? ???????? ?????? ??? ???,60.03180753
?? ?? ?????? ?????? ?????? ???????? ?? ???????? ????????,3227,What is the sum of 3000 and 227?,55.1785712
??? ??? ?????? ?? ??? ?????? ?? ?????? ???????,?????? ???????,?? ?? ????? ?????? ??????? ???? ???? ??? ??? ?????? ?? ???????? ??????? ???? ???? ?? ?????????,60.79248449
?? ?? ????? ?? ???? ?????? ?? ?????? ???????,???? ??? ??? ??? ???? ?????? ??? ????? ????? ?? ???? ?????? ?????? ????? ?????? ??????? ???????,?? ?? ????? ?? ??????? ???? ??? ?????? ?? ???????,92.27741653
?? ?? ????? ??????? ????? ??????? ?? ???? ????????,??????,?? ?? ????? ??????? ?? ??????? ???? ???? ?????? ??? ?????,72.76149897
??? ???? ???????? ?????? ??????? ??????? ??? ?? ????? ???? ??????? ???? ??????,2019,What year follows 2018?,52.68585045
?? ??? ?????? ??????? ????? ????? ??????? ??????? ???????? ?? ????? 2023?,27 ?????,?? ?? ??? ?????? ?? ?????????,69.355921
?? ?? ??????? ???? ?????? ???????? ????? ??????? ????? ??? 2030?,88 ??????? ?????? ??????? ?????? ??????? ?????? ??? 100 ????? ????? ?????? ??????.,?? ?? ????? ??????? ???? ?????? ?????????? ??????? ?? ?????? ????????,77.82514732
?? ?? ?????? ???? ?????? ???????? ?? ????? ????? ?????? ???????? ???? ????? 2023 ??????? ?????? 2019?,156%,What percentage increase is observed if the value changes from 100 to 156?,60.17422723
?? ??? ??????? ???????? ????????? ?? ?????????,500,"What is the square root of 250,000?",54.75702523
?? ?? ???? ???????? ?? ????? ??????? ????????,????,?? ????? ??? ??? ?????????,54.26058344
?? ?? ?????? ??????? ?????? ???????? ?? ???????? ?? ??? ????? ?????? ???? ????? ??????? ??? ?????? ???????,27%,What is the percentage of people in a group of 100 who prefer tea over coffee if 27 people chose tea?,58.23860841
?? ?? ???????? ???????? ?? ?????? ??????? ??????? ???????? ??????? ??????? ????????,????? ??????? ???????? ??????? ????????? ??????? ?????? ?????? ???????? ??????? ?????????,?? ?? ??? ??????? ???? ???? ???????? ????? ????? ?? ??????? ?????????,70.33127924
?? ?? ??? ????? ?? ???????? ???????? ??????? ?????????,?????? ????,?? ??? ????????? ?????????? ?? ??????? ??????? ???????? ????????,75.03221944
?? ?? ????? ????? ?????? ?? ??????? ??????? ?????????,???? ????????? ??? ???? ???? ?? ???? ??????? ???????? ????? ?? ???????,?? ?? ??????? ???????? ???? ????? ?????? ????? ?? ??????? ???? ???????????,78.39575664
?? ?? ?????? ??????? ?????? ???? ??????? ?? ?????? ??????? ?? ??????? ??????? ?????????,21%,What percentage of 100 is 21?,56.80456551
?? ??? ??? ??????? ???????? ???????? ?? ???????? ????? 2018??,151 ???,?? ?? ??? ?????? ?? ??? ????????,60.51821048
?? ?? ??????? ??????? ?????? ??? ????? ????? ?? ?????????,????????,?? ?? ??????? ????? ?????? ?????? ???????? ?? ????? ????????,68.6622301
??? ?? ????? ??? ????????? ????? ???? ????? ?? ??? ???? ?????? ??????? ??????? ?????? ?????????,2014,What year was the FIFA World Cup held in Brazil?,55.61800316
?? ?? ???????? ???????? ?? ????,???? ????? ?????,?? ?? ??? ??????? ??????? ???? ???? ?????? ????? ?? ??? ??????? ????????,66.52942004
?? ?? ???? ??????? ?? ???????? ??? ?? ????? ??????? ????????? ???? ????? ??????,???? ??? ??????? 221 ????????? ??? ?????????? ???????????????? ?????? 900 ???????? ????????? ??? ???????????? ???? ?????? 45 ??????????.,?? ?? ????? ???????? ???????? ??????? ?????????? ????????? ?? ???????,60.29233559
?? ??? ?????????? ??????? ???? ???? ?? ?????????,45,What is the sum of 20 and 25?,54.19029766
?? ?? ?????? ??????? ???? ???? ???? ?????? ???????? ??????? ?? 20 ????? 2024?,??? ????????,?? ?? ?????? ?????? ??????? ??????? ?????????,65.93490685
"?? ?? ??? ??????? ???????? ?????????? ?? ????? ???????? ??? ????? ???? ""???????"" ???????? ?? ??? 2014?","(1,320)",What is the product of 22 and 60?,54.10624028
?? ?? ??????? ???? ???? ?????? ??? ???????? ?? ?????? ?? ?????????,?????? ????? ?? ??????,?? ?? ??????? ???????? ????? ?????? ?? ?????? ????? ?? ?????? ?? ??????? ??????? ?????????,68.80931218
??? ??? ????? ?? ??? ???? ?????? ???? ???????,1900,What year marked the beginning of the 20th century?,56.44756987
?? ?? ???? ?? ???????,???? ?????? ???? ????.,?? ???? ???? ?????? ???? ?????,62.56956596
?? ???? ??????? ??? ?????? ?????? ???? ????? ????? ?? ???? ???????,???? ????? ???? ????????,?? ?? ??????? ??????? ?? ?????? ???????? ????????? ?? ??? ???? ????? ?????? ????,54.59440572
?? ?? ????? ?? ????? ?? ???? ???????,????? ???? ???????? ??????? ????? ?????? ???????????,?? ?? ?????? ??????? ?????? ?????? ??????????,56.96146359
?? ?? ????? ???? ????????? ?????? ????????? ?????? ????? ?? ???? ???????,??????,?? ?? ??????? ???? ???? ??????? ??? ??????? ??????? ?? ???????? ??????????,61.00258824
??? ??? ?? ???? ?????? ??? ??????? ????????,1908,In which year was the Model T car first produced by Ford?,58.13408502
??? ?? ?????? ??? ????? ?????? ???????? ??? ?? ??? ?????? ????????,????? ??????? ????? ?????,?? ?? ??????? ?????? ?????? ????? ?????? ?????? ?? ??????? ?????? ???,61.13525961
?? ??? ????? ???? ??????? ?? ???? ??? ?????,????? ???,?? ?? ????? ???? ???? ??? ????? ???? ??? ?????? ????????,60.69045781
?? ??? ??? ???????? ???? ???? ???? ??? ???? ???????,132,What is the sum of 100 and 32?,55.08970497
?? ??? ???????? ???? ?????? ???? ?????? ???? ??? ???? ???????,?? ????? ????? ?? ???? Kräuselschnecken ??????? ????? ???????? ??? ?? ??? ?????? ?????? ?? ???? ??? ?????? ??????? ???????.,?? ?? ??????? ???? ?? ??????? ??????? ????? ???????? ??? ?? ??? ?????? ?????? ?? ???? ??? ?????? ??????? ????????,69.10855454
??? ??? ??? ???? ??? ???? ??????? ??????? ?????? ?? ?????,22 ???? ????? ?? ??? 1326 ?????? ??????? ???? 1908 ????????,?? ?? ??????? ???????? ??????? ?????? 22 ???? ????? ?? ??? 1326 ???????,56.33307072
?? ?? ??????? ???? ??? ??? ?? ???? ???????,??? ?????? ?????????? ?????? ?????? ???? ?????? ????????? ???? ???????,?? ?? ??? ??????? ???????? ???????? ?? ????? ???????,65.39740598
??? ???? ??? ????? ??? ??????? ?? ?? ???? ?????? ??? ??? ???????,1336,What is the product of 334 and 4?,51.58289392
??? ???? ?????? ??????? ?????? ??? ?? ???? ???? ??????,1916,In which year was the Easter Rising in Ireland?,58.49463682
?? ?? ????? ???? ???? ?? ???? ?????? ???? ?????? ????????,????? ?????? ?? ?????? ???? ???? ??????? ??????? ???????? ??????? ???????,?? ??? ????? ?? ????? ?????? ?? ????? ????? ???????? ?? ?????? ??????? ???????,78.11455387
?? ?? ????????? ???? ??? ?????? ????? ?? ???? ???????,?????,?? ?? ??????? ?????? ???? ??????? ??????? ??? ?????? ????? ?????? ?? ?????????,51.51261509
?? ?? ??? ?? ??????? ??????? ?? ???? ???? ??? ???? ????????,????? ???????? ????? 451?5 ????? ?????,?? ?? ????? ???? ???????? ????? 451?5 ????? ??????,65.16468055
?? ?? ??????? ???? ????? ??? ???????? ?? ??? 2008??,"«?????????????????»
?????|????|250px|????? ???? ?????? ???????? ??????? ??? ???????.",?? ?? ??? ?????? ?????? ???? ???? ??? ??? ???????? ?? ??????? ??????? ?????????,73.10578117
??? ?? ????? ?????? ?????? ??? ??????? ????? ???? ???????,2015,What year was it exactly a year before the 2016?,54.81401918
?? ?? ??????? ?? ????? ???????? ??? ?? ????? ????,???? ??????? ???????? ??? ???? ???????? ??? ????? ???? ????? ?? ????? ?????? ???????,???? ???? ???????? ????? ??? ??? ??????? ??? ???? ?????????,68.04795328
?? ?? ????? ??????? ?? ?????????? ?????? ???? ????,????? ??? ??????? ????? ??? ????? ??????? ????? ????????,?? ?? ?????? ???? ????? ???? ????? ??????? ?? ???? ?????????,77.27944952
?? ?? ????? ?? ??????? ?? ?????? ????????,???????,?? ?? ????? ??????? ?? ??????? ?????? ??????? ?? ????????,66.99619991
?? ??? ??????? ??????? ?? ??????? ??? ????? ??????? ????? ?????? ????????,??????? ??????? ?? ?????? ???????? ????? ?????  ?? ????? ????,?? ??? ??????? ????????? ?? ??????? ?? ??? ??????? ?????????,72.94638481
?? ?? ?????? ??????? ???? ???? ?? ?????? ??????? ?? ???? ???????,????? ?????? ??? ???? ???? ????? ?? ??? ????????,?? ???? ????? ???? ?????? ?????? ?????? ?? ????? ??? ?????????,66.25114719
?? ?? ??? ????? ????? ??????? ?? ????? ?????????,??? ???? ?????? ???? ?????? ??????? ???????? (?? ??) ??????? ????? ??? ????? ???? ??? ?????????,?? ?? ????? ??????? ????????? ???????? ?? ??????? ?? ?????????,74.36956232
?? ?? ??????? ???????? ?? ???????? ???????? ??????? ???????,????? ???? datos de protocolo más de una vez durante su transmisión entre el emisor y el destinatario,¿Qué significa la fragmentación de paquetes en el contexto de la transmisión de datos de protocolo entre el emisor y el destinatario?,71.59766338
?? ?? ???? ?????? ???? ????? ?????? ?????? ???? ?????,???????? ?????? ??? ????? ??? ????????,???? ?????? ?????? ??? ????? ??? ?????????,60.70311861
?? ?? ????? ???? ????? ??????? ?? ?????????? ???? ??????,???? ????? ??? ????? ????? ???? ?????? ?? ???? ?????? ?????? ??? ???? ?????? ?????? ????? ?????? ?? ??????? ??????? ?? ????? ???? ????????,?? ???? ???? ?? ???? ????? ????? ???????? ?? ????? ???? ???????? ????? ?????? ??????? ???????? ?? ??????? ????????,69.02109333
?? ?? ????? ?????? ????????? ?????? ?? ???????? ?????? ???????,(536),What is the product of 268 and 2?,58.7614725
?? ?? ?????? ???????? ?????? ??????? ?? ?????? ??????? ?????? ?? ???????? ?????????,??? ??????? ?????????? ?????? ??????? ?????? ?????????,?? ?? ??????? ???????? ?? ????? ????? ???? FAT ?? ???? ??????? FAT16?,62.7253866
?? ?? ??? ???????? ?? ?????? ???????? ?????????,???? ??????? ?????? ???? ???????? ???????? ??? ???? ???? ?? ????? ??????? ???? ???? ????? ????? ?? ???? ??????,?? ?? ??????? ???? ?????? ???? ???????? ???????? ??? ???? ???? ?? ????? ??????? ???? ???? ????? ????? ?? ???? ???????,56.53051742
?? ?? ????? ????? ????? ??????? ?? ????? ????????,5200,What is the product of 130 and 40?,57.30077122
?? ?? ??????? ???????? ??????? ?????? ?? ???????? ?????????,??,"What is the Arabic word for ""K""?",49.9615885
?? ?? ??????? ??????? ???? ???? ?? ???? ?? ??????? ??????? ?? ??????? ?????? ?? ???????? ?????????,?????? ???????,"?? ?? ????? ?????? ?? ""Security Breach""?",61.50618867
?? ?? ??????? ???? ???? ?? ?????? ?? ???? ????? ?? ??????? ???? ???? ???? ??????? ?????? ??????? ???????,???????,?? ?? ??????? ???? ?????? ?? ????? ?????? ?????? ??? ??? ??????,66.70706012
?? ?? ????? ??????? ?? ????? ??????? ?? ???? ????? ??????,????? ???????? ?? ?????? ?????? ??? ?????? ??? ???? ????????,?? ?? ???? ??????? ??????? ?? ????? ?????? ?????? ???????? ??? ?????? ??? ???? ?????????,65.30740764
?? ?? ?????????? ???? ????? ????? ??? ???????? ??????????? ???? ???????,???????? ???,"?? ?? ????? ?????? ?? ""Link Protocol""?",62.8945909
?? ?? ??????? ???????? ????? ?????? ?????????? ?? ???? ??? ?????????,?????????? ??????????????? ?????? ??????? ??? ????? ???????? ?????????????? ???????????????? ??? ?????????? ???????????????????? ?????????? ???????? ???????????? ?????????? ???????? ?? ?????????? ?????????????????????????????? ??????????????? ????????????????????? ????????????? ????????????????? ?????? ????????????????????? ??????????? ??????????????????????????????.,?? ?? ????? ???? ???? ?? ??? ???????? ?? ????????,77.78924519
?? ?? ??????? ???? ????? ????? ???? ???????? ????? ?? ??? ??????? ??? ??? ?? ????? ?????? ?????? ????? ??? ?????,????? ????? ?????? ???????,?? ?? ??????? ???? ???? ????? ????? ???????? ?? ??????? ?????? ??????? ???? ???????,69.97965817
?? ?? ??????????? ???? ?? ???? ??? ????? ????? ??????? ????? ????? ?? ????????,?????????? ?????? ????? ?????? ??????? ?????? ????? ??????? ????????? ?????? (VLAN)? ??????? ????? ????????? ??????? ??? ?????? ?????? (Jumbo Frames)? ??????? ????? ????????,?? ?? ??? ??????????? ???????? ?? ????????? ????????,77.32683247
??? ???? ?????? ????? ?????? ????? ??????,30 ?????,?? ?? ??????? ???? ???? ??? 29 ??????,58.1466777
?? ?? ???????? ???? ???? ???? ??? ???? ?? ????? 2002 ?????? ?????? ?? ???????,?????? ???????? ??????? ??????,?? ?? ??? ??????? ?? ????????? ???? ???? ??? ????? ????? ?? ???? ????????,70.32382095
??? ?? ????? ??????? ???? 2 ??????? ????? ??????? ??????,7 ???????/ ????? ????,?? ?? ??????? ??????? ?????? ??????? ??????? ?????? ?? ????? ??? 2006?,56.48836901
??? ????? ?????????? ?? ???????? ?? ????? ?????? ??????,2006,What year was the social networking site Twitter first launched?,57.24116209
?? ?? ???? ????? ?? ?????? ????? ????????? ?? ?????? ??????,??????? ???????,"?? ?? ????? ?????? ?? ""Library of Layers""?",55.51376649
?? ?? ????????? ???????? ?????? ?????? ??????,????? ???? 800 ????????? ??? ????? ?????? ??????? 512 ???? ???? ?????? ?????? DirectX 9,?? ?? ??????? ?????? ?????? ?????? ??? ?????????,74.87288137
?? ?? ???? ?????? ????????? ???? ???? ??????? ?? ?????? ??? ???? ??????? ?????? ?? ????? ??????,????? 9800,?? ?? ????? ????? ?????? ????????? ??????,52.92954721
?? ?? ?????? ???? ???? ????????? ?????? ?????? ????? ?? ?? ????,???????? ?? ?? ???,?? ?? ??? ???? ?????????,66.27084313
??? ????? ?????????? ?? ?????? ??? ?????? ??????,2017,What year followed 2016?,61.27660267
